"The following return values of SSL_connect_APIName can occur, 0, 1, <0",null,"The following return values of SSL_connect_APIName can occur, 0, 1, <0",SSL_connect_APIName initiates the TLS/SSL handshake with a server. The communication channel must already have been set and assigned to the ssl by setting an underlying BIO.
SSL_get_cipher_APIName and SSL_get_cipher_name_APIName are identical macros to obtain the name of the currently used cipher,null,SSL_get_cipher_APIName and SSL_get_cipher_name_APIName are identical macros to obtain the name of the currently used cipher,SSL_get_cipher_APIName and SSL_get_cipher_name_APIName are identical macros to obtain the name of the currently used cipher. SSL_get_cipher_bits_APIName is a macro to obtain the number of secret/algorithm bits used and SSL_get_cipher_version_APIName returns the protocol name. See SSL_CIPHER_get_name_APIName for more details.
SSL_get_current_cipher_APIName returns a pointer to an SSL_CIPHER object containing the description of the actually used cipher of a connection established with the SSL_get_current_cipher_APIParam_1 object,null,SSL_get_current_cipher_APIName returns a pointer to an SSL_CIPHER object containing the description of the actually used cipher of a connection established with the SSL_get_current_cipher_APIParam_1 object,SSL_get_current_cipher_APIName returns a pointer to an SSL_CIPHER object containing the description of the actually used cipher of a connection established with the SSL_get_current_cipher_APIParam_1 object.
the context must be cleaned up after use by calling EVP_MD_CTX_cleanup_APIName or a memory leak will occur,null," , the context must be cleaned up after use by calling EVP_MD_CTX_cleanup_APIName or a memory leak will occur","Since only a copy of the digest context is ever finalized, the context must be cleaned up after use by calling EVP_MD_CTX_cleanup_APIName or a memory leak will occur."
See SSL_CIPHER_get_name_APIName for more details,null,See SSL_CIPHER_get_name_APIName for more details,SSL_get_cipher_APIName and SSL_get_cipher_name_APIName are identical macros to obtain the name of the currently used cipher. SSL_get_cipher_bits_APIName is a macro to obtain the number of secret/algorithm bits used and SSL_get_cipher_version_APIName returns the protocol name. See SSL_CIPHER_get_name_APIName for more details.
SSL_get_cipher_bits_APIName is a macro to obtain the number of secret/algorithm bits used and SSL_get_cipher_version_APIName returns the protocol name,null,SSL_get_cipher_bits_APIName is a macro to obtain the number of secret/algorithm bits used and SSL_get_cipher_version_APIName returns the protocol name,SSL_get_cipher_APIName and SSL_get_cipher_name_APIName are identical macros to obtain the name of the currently used cipher. SSL_get_cipher_bits_APIName is a macro to obtain the number of secret/algorithm bits used and SSL_get_cipher_version_APIName returns the protocol name. See SSL_CIPHER_get_name_APIName for more details.
"SSL_get_current_cipher_APIName returns the cipher actually used or NULL, when no session has been established",null,"SSL_get_current_cipher_APIName returns the cipher actually used or NULL, when no session has been established","SSL_get_current_cipher_APIName returns the cipher actually used or NULL, when no session has been established."
SSL_CTX_set_timeout_APIName sets the timeout for newly created sessions for SSL_CTX_set_timeout_APIParam_1 to SSL_CTX_set_timeout_APIParam_2,null,SSL_CTX_set_timeout_APIName sets the timeout for newly created sessions for SSL_CTX_set_timeout_APIParam_1 to SSL_CTX_set_timeout_APIParam_2,SSL_CTX_set_timeout_APIName sets the timeout for newly created sessions for SSL_CTX_set_timeout_APIParam_1 to SSL_CTX_set_timeout_APIParam_2. The timeout value SSL_CTX_set_timeout_APIParam_2 must be given in seconds.
SSL_CTX_get_timeout_APIName returns the currently set timeout value for SSL_CTX_get_timeout_APIParam_1,null,SSL_CTX_get_timeout_APIName returns the currently set timeout value for SSL_CTX_get_timeout_APIParam_1,SSL_CTX_get_timeout_APIName returns the currently set timeout value for SSL_CTX_get_timeout_APIParam_1.
The timeout value SSL_CTX_set_timeout_APIParam_2 must be given in seconds,null,The timeout value SSL_CTX_set_timeout_APIParam_2 must be given in seconds,SSL_CTX_set_timeout_APIName sets the timeout for newly created sessions for SSL_CTX_set_timeout_APIParam_1 to SSL_CTX_set_timeout_APIParam_2. The timeout value SSL_CTX_set_timeout_APIParam_2 must be given in seconds.
Changes of the timeout value do not affect already established sessions,null,Changes of the timeout value do not affect already established sessions,"Due to this realization, all sessions behave according to the timeout value valid at the time of the session negotiation. Changes of the timeout value do not affect already established sessions."
This lifetime is specified by storing the creation time of the session and the timeout value valid at this time,null,This lifetime is specified by storing the creation time of the session and the timeout value valid at this time,"Whenever a new session is created, it is assigned a maximum lifetime. This lifetime is specified by storing the creation time of the session and the timeout value valid at this time. If the actual time is later than creation time plus timeout, the session is not reused."
"Due to this realization , all sessions behave according to the timeout value valid at the time of the session negotiation",null,"Due to this realization, all sessions behave according to the timeout value valid at the time of the session negotiation","Due to this realization, all sessions behave according to the timeout value valid at the time of the session negotiation. Changes of the timeout value do not affect already established sessions."
The expiration time of a single session can be modified using the SSL_SESSION_get_time_APIName family of functions,null,The expiration time of a single session can be modified using the SSL_SESSION_get_time_APIName family of functions,The expiration time of a single session can be modified using the SSL_SESSION_get_time_APIName family of functions.
"is created , it is assigned a maximum lifetime",Whenever a new session,"Whenever a new session is created, it is assigned a maximum lifetime","Whenever a new session is created, it is assigned a maximum lifetime. This lifetime is specified by storing the creation time of the session and the timeout value valid at this time. If the actual time is later than creation time plus timeout, the session is not reused."
the EVP_DigestSignFinal_APIParam_3 parameter should contain the length of the EVP_DigestSignFinal_APIParam_2 buffer,"If EVP_DigestSignFinal_APIParam_2 is not NULL , before the call","If EVP_DigestSignFinal_APIParam_2 is not NULL ,then before the call the EVP_DigestSignFinal_APIParam_3 parameter should contain the length of the EVP_DigestSignFinal_APIParam_2 buffer, if the call is successful ,the signature is written to EVP_DigestSignFinal_APIParam_2 and the amount of data written to EVP_DigestSignFinal_APIParam_3","EVP_DigestSignFinal_APIName signs the data in EVP_DigestSignFinal_APIParam_1 places the signature in EVP_DigestSignFinal_APIParam_2. If EVP_DigestSignFinal_APIParam_2 is NULL, then the maximum size of the output buffer is written to the EVP_DigestSignFinal_APIParam_3 parameter. If EVP_DigestSignFinal_APIParam_2 is not NULL ,then before the call the EVP_DigestSignFinal_APIParam_3 parameter should contain the length of the EVP_DigestSignFinal_APIParam_2 buffer, if the call is successful ,the signature is written to EVP_DigestSignFinal_APIParam_2 and the amount of data written to EVP_DigestSignFinal_APIParam_3."
"The default value for session timeout is decided on a per protocol basis , see SSL_get_default_timeout_APIName",null,"The default value for session timeout is decided on a per protocol basis, see SSL_get_default_timeout_APIName","The default value for session timeout is decided on a per protocol basis, see SSL_get_default_timeout_APIName . All currently supported protocols have the same default timeout value of 300 seconds."
"if the call is successful , the signature is written to EVP_DigestSignFinal_APIParam_2 and the amount of data written to EVP_DigestSignFinal_APIParam_3",null,"If EVP_DigestSignFinal_APIParam_2 is not NULL ,then before the call the EVP_DigestSignFinal_APIParam_3 parameter should contain the length of the EVP_DigestSignFinal_APIParam_2 buffer, if the call is successful ,the signature is written to EVP_DigestSignFinal_APIParam_2 and the amount of data written to EVP_DigestSignFinal_APIParam_3","EVP_DigestSignFinal_APIName signs the data in EVP_DigestSignFinal_APIParam_1 places the signature in EVP_DigestSignFinal_APIParam_2. If EVP_DigestSignFinal_APIParam_2 is NULL, then the maximum size of the output buffer is written to the EVP_DigestSignFinal_APIParam_3 parameter. If EVP_DigestSignFinal_APIParam_2 is not NULL ,then before the call the EVP_DigestSignFinal_APIParam_3 parameter should contain the length of the EVP_DigestSignFinal_APIParam_2 buffer, if the call is successful ,the signature is written to EVP_DigestSignFinal_APIParam_2 and the amount of data written to EVP_DigestSignFinal_APIParam_3."
SSL_CTX_set_timeout_APIName returns the previously set timeout value,null,SSL_CTX_set_timeout_APIName returns the previously set timeout value,SSL_CTX_set_timeout_APIName returns the previously set timeout value.
the session is not reused,If the actual time is later than creation time plus timeout,"If the actual time is later than creation time plus timeout, the session is not reused","Whenever a new session is created, it is assigned a maximum lifetime. This lifetime is specified by storing the creation time of the session and the timeout value valid at this time. If the actual time is later than creation time plus timeout, the session is not reused."
All currently supported protocols have the same default timeout value of 300 seconds,null,All currently supported protocols have the same default timeout value of 300 seconds,"The default value for session timeout is decided on a per protocol basis, see SSL_get_default_timeout_APIName . All currently supported protocols have the same default timeout value of 300 seconds."
SSL_CTX_get_timeout_APIName returns the currently set timeout value,null,SSL_CTX_get_timeout_APIName returns the currently set timeout value,SSL_CTX_get_timeout_APIName returns the currently set timeout value.
locking_function is needed to perform locking on shared data structures,null,"locking_function(int mode, int n, const char *file, int line) is needed to perform locking on shared data structures","locking_function(int mode, int n, const char *file, int line) is needed to perform locking on shared data structures. (Note that OpenSSL uses a number of global data structures that will be implicitly shared whenever multiple threads use OpenSSL.) Multi-threaded applications will crash at random if it is not set."
CRYPTO_lock_APIParam_3 and CRYPTO_lock_APIParam_4 are the file number of the function setting the lock,null,CRYPTO_lock_APIParam_3 and CRYPTO_lock_APIParam_4 are the file number of the function setting the lock,CRYPTO_lock_APIParam_3 and CRYPTO_lock_APIParam_4 are the file number of the function setting the lock. They can be useful for debugging.
They can be useful for debugging,null,They can be useful for debugging,CRYPTO_lock_APIParam_3 and CRYPTO_lock_APIParam_4 are the file number of the function setting the lock. They can be useful for debugging.
"Expired sessions are removed from the internal session cache , , either directly by the application or automatically",whenever SSL_CTX_flush_sessions_APIName is called,"Expired sessions are removed from the internal session cache, whenever SSL_CTX_flush_sessions_APIName is called, either directly by the application or automatically (see SSL_CTX_set_session_cache_mode_APIName )","Expired sessions are removed from the internal session cache, whenever SSL_CTX_flush_sessions_APIName is called, either directly by the application or automatically (see SSL_CTX_set_session_cache_mode_APIName )"
"Once threadid_func_APIName is registered , or",if the built-in default implementation is to be used,"Once threadid_func_APIName is registered, or if the built-in default implementation is to be used;","Once threadid_func_APIName is registered, or if the built-in default implementation is to be used;"
CRYPTO_THREADID_current_APIName records the currently-executing thread ID into the given CRYPTO_THREADID_current_APIParam_1 object,null,CRYPTO_THREADID_current_APIName records the currently-executing thread ID into the given CRYPTO_THREADID_current_APIParam_1 object,CRYPTO_THREADID_current_APIName records the currently-executing thread ID into the given CRYPTO_THREADID_current_APIParam_1 object.
CRYPTO_THREADID_cmp_APIName compares two thread IDs,null,"CRYPTO_THREADID_cmp_APIName compares two thread IDs (returning zero for equality, ie the same semantics as memcmp_APIName)","CRYPTO_THREADID_cmp_APIName compares two thread IDs (returning zero for equality, ie the same semantics as memcmp_APIName)."
CRYPTO_THREADID_cpy_APIName duplicates a thread ID value,null,CRYPTO_THREADID_cpy_APIName duplicates a thread ID value,"CRYPTO_THREADID_cpy_APIName duplicates a thread ID value,"
CRYPTO_THREADID_hash_APIName returns a numeric value usable as a hash-table key,null,CRYPTO_THREADID_hash_APIName returns a numeric value usable as a hash-table key,"CRYPTO_THREADID_hash_APIName returns a numeric value usable as a hash-table key. This is usually the exact numeric or pointer-based thread ID used internally, however this also handles the unusual case where pointers are larger than 'long' variables and the platform's thread IDs are pointer-based - in this case, mixing is done to attempt to produce a unique numeric value even though it is not as wide as the platform's true thread IDs."
Multi-threaded applications will crash at random,if it is not set,Multi-threaded applications will crash at random if it is not set,"locking_function(int mode, int n, const char *file, int line) is needed to perform locking on shared data structures. (Note that OpenSSL uses a number of global data structures that will be implicitly shared whenever multiple threads use OpenSSL.) Multi-threaded applications will crash at random if it is not set."
"To enable this , the following is required",null,"To enable this, the following is required:","Additionally, OpenSSL supports dynamic locks, and sometimes, some parts of OpenSSL need it for better performance. To enable this, the following is required:"
"Three additional callback function , dyn_create_function , dyn_lock_function and dyn_destroy_function",null,"Three additional callback function, dyn_create_function, dyn_lock_function and dyn_destroy_function","Three additional callback function, dyn_create_function, dyn_lock_function and dyn_destroy_function."
"Additionally , OpenSSL supports dynamic locks , and sometimes , some parts of OpenSSL need it for better performance",null,"Additionally, OpenSSL supports dynamic locks, and sometimes, some parts of OpenSSL need it for better performance","Additionally, OpenSSL supports dynamic locks, and sometimes, some parts of OpenSSL need it for better performance. To enable this, the following is required:"
A structure defined with the data that each lock needs to handle,null,A structure defined with the data that each lock needs to handle,A structure defined with the data that each lock needs to handle.
dyn_create_function is needed to create a lock,null,"dyn_create_function(const char *file, int line) is needed to create a lock","dyn_create_function(const char *file, int line) is needed to create a lock. Multi-threaded applications might crash at random if it is not set."
struct CRYPTO_dynlock_value has to be defined to contain whatever structure is needed to handle locks,null,struct CRYPTO_dynlock_value has to be defined to contain whatever structure is needed to handle locks,struct CRYPTO_dynlock_value has to be defined to contain whatever structure is needed to handle locks.
CRYPTO_get_new_dynlockid_APIName is used to create locks,null,CRYPTO_get_new_dynlockid_APIName is used to create locks,CRYPTO_get_new_dynlockid_APIName is used to create locks. CRYPTO_get_new_dynlockid_APIName will call dyn_create_function for the actual creation.
CRYPTO_get_new_dynlockid_APIName will call dyn_create_function for the actual creation,null,CRYPTO_get_new_dynlockid_APIName will call dyn_create_function for the actual creation,CRYPTO_get_new_dynlockid_APIName is used to create locks. CRYPTO_get_new_dynlockid_APIName will call dyn_create_function for the actual creation.
CRYPTO_destroy_dynlockid_APIName is used to destroy locks,null,CRYPTO_destroy_dynlockid_APIName is used to destroy locks,CRYPTO_destroy_dynlockid_APIName is used to destroy locks. CRYPTO_destroy_dynlockid_APIName will call dyn_destroy_function for the actual destruction.
CRYPTO_destroy_dynlockid_APIName will call dyn_destroy_function for the actual destruction,null,CRYPTO_destroy_dynlockid_APIName will call dyn_destroy_function for the actual destruction,CRYPTO_destroy_dynlockid_APIName is used to destroy locks. CRYPTO_destroy_dynlockid_APIName will call dyn_destroy_function for the actual destruction.
Multi-threaded applications might crash at random,if it is not set,Multi-threaded applications might crash at random if it is not set,"dyn_create_function(const char *file, int line) is needed to create a lock. Multi-threaded applications might crash at random if it is not set."
CRYPTO_lock_APIName is used to lock and unlock the locks,null,CRYPTO_lock_APIName is used to lock and unlock the locks,"CRYPTO_lock_APIName is used to lock and unlock the locks. mode is a bitfield describing what should be done with the lock. n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName. mode can be combined from 1,2,4,8. These values are pairwise exclusive, with undefined behaviour if misused (for example, CRYPTO_READ and CRYPTO_WRITE should not be used together):"
n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName,null,n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName,"CRYPTO_lock_APIName is used to lock and unlock the locks. mode is a bitfield describing what should be done with the lock. n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName. mode can be combined from 1,2,4,8. These values are pairwise exclusive, with undefined behaviour if misused (for example, CRYPTO_READ and CRYPTO_WRITE should not be used together):"
mode is a bitfield describing what should be done with the lock,null,mode is a bitfield describing what should be done with the lock,"CRYPTO_lock_APIName is used to lock and unlock the locks. mode is a bitfield describing what should be done with the lock. n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName. mode can be combined from 1,2,4,8. These values are pairwise exclusive, with undefined behaviour if misused (for example, CRYPTO_READ and CRYPTO_WRITE should not be used together):"
"mode can be combined from 1,2,4,8",null,"mode can be combined from 1,2,4,8","CRYPTO_lock_APIName is used to lock and unlock the locks. mode is a bitfield describing what should be done with the lock. n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName. mode can be combined from 1,2,4,8. These values are pairwise exclusive, with undefined behaviour if misused (for example, CRYPTO_READ and CRYPTO_WRITE should not be used together):"
CRYPTO_num_locks_APIName returns the required number of locks,null,CRYPTO_num_locks_APIName returns the required number of locks,CRYPTO_num_locks_APIName returns the required number of locks.
n. Multi-threaded applications might crash at random,if it is not set,"dyn_lock_function(int mode, CRYPTO_dynlock *l, const char *file, int line) is needed to perform locking off dynamic lock numbered n. Multi-threaded applications might crash at random if it is not set","dyn_lock_function(int mode, CRYPTO_dynlock *l, const char *file, int line) is needed to perform locking off dynamic lock numbered n. Multi-threaded applications might crash at random if it is not set."
dyn_lock_function is needed to perform locking off dynamic lock numbered,null,"dyn_lock_function(int mode, CRYPTO_dynlock *l, const char *file, int line) is needed to perform locking off dynamic lock numbered n. Multi-threaded applications might crash at random if it is not set","dyn_lock_function(int mode, CRYPTO_dynlock *l, const char *file, int line) is needed to perform locking off dynamic lock numbered n. Multi-threaded applications might crash at random if it is not set."
Multi-threaded applications might crash at random,if it is not set,"dyn_destroy_function(CRYPTO_dynlock *l, const char *file, int line) is needed to destroy the lock l. Multi-threaded applications might crash at random if it is not set","dyn_destroy_function(CRYPTO_dynlock *l, const char *file, int line) is needed to destroy the lock l. Multi-threaded applications might crash at random if it is not set."
dyn_destroy_function is needed to destroy the lock l,null,"dyn_destroy_function(CRYPTO_dynlock *l, const char *file, int line) is needed to destroy the lock l. Multi-threaded applications might crash at random if it is not set","dyn_destroy_function(CRYPTO_dynlock *l, const char *file, int line) is needed to destroy the lock l. Multi-threaded applications might crash at random if it is not set."
CRYPTO_get_new_dynlockid_APIName returns the index to the newly created lock,null,CRYPTO_get_new_dynlockid_APIName returns the index to the newly created lock,CRYPTO_get_new_dynlockid_APIName returns the index to the newly created lock.
The other functions return no values,null,The other functions return no values,The other functions return no values.
"These values are pairwise exclusive , with undefined behaviour",if misused,"These values are pairwise exclusive, with undefined behaviour if misused (for example, CRYPTO_READ and CRYPTO_WRITE should not be used together):","CRYPTO_lock_APIName is used to lock and unlock the locks. mode is a bitfield describing what should be done with the lock. n is the number of the lock as returned from CRYPTO_get_new_dynlockid_APIName. mode can be combined from 1,2,4,8. These values are pairwise exclusive, with undefined behaviour if misused (for example, CRYPTO_READ and CRYPTO_WRITE should not be used together):"
"Also , dynamic locks are currently not used internally by OpenSSL , but may do so in the future",null,"Also, dynamic locks are currently not used internally by OpenSSL, but may do so in the future","Also, dynamic locks are currently not used internally by OpenSSL, but may do so in the future."
X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName retrieve the next index matching X509_NAME_get_index_by_NID_APIParam_2 or X509_NAME_get_index_by_OBJ_APIParam_2 after X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3,null,X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName retrieve the next index matching X509_NAME_get_index_by_NID_APIParam_2 or X509_NAME_get_index_by_OBJ_APIParam_2 after X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3,"X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName retrieve the next index matching X509_NAME_get_index_by_NID_APIParam_2 or X509_NAME_get_index_by_OBJ_APIParam_2 after X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3. X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3 should initially be set to -1. If there are no more entries, -1 is returned. If X509_NAME_get_index_by_NID_APIParam_2 is invalid (doesn't correspond to a valid OID) ,then -2 is returned."
X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3 should initially be set to -1,null,X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3 should initially be set to -1,"X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName retrieve the next index matching X509_NAME_get_index_by_NID_APIParam_2 or X509_NAME_get_index_by_OBJ_APIParam_2 after X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3. X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3 should initially be set to -1. If there are no more entries, -1 is returned. If X509_NAME_get_index_by_NID_APIParam_2 is invalid (doesn't correspond to a valid OID) ,then -2 is returned."
"If there are no more entries, -1 is returned",null,"If there are no more entries, -1 is returned","X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName retrieve the next index matching X509_NAME_get_index_by_NID_APIParam_2 or X509_NAME_get_index_by_OBJ_APIParam_2 after X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3. X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3 should initially be set to -1. If there are no more entries, -1 is returned. If X509_NAME_get_index_by_NID_APIParam_2 is invalid (doesn't correspond to a valid OID) ,then -2 is returned."
"If X509_NAME_get_index_by_NID_APIParam_2 is invalid  ,then -2 is returned",null,"If X509_NAME_get_index_by_NID_APIParam_2 is invalid (doesn't correspond to a valid OID) ,then -2 is returned","X509_NAME_get_index_by_NID_APIName and X509_NAME_get_index_by_OBJ_APIName retrieve the next index matching X509_NAME_get_index_by_NID_APIParam_2 or X509_NAME_get_index_by_OBJ_APIParam_2 after X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3. X509_NAME_get_index_by_NID_APIParam_3 X509_NAME_get_index_by_OBJ_APIParam_3 should initially be set to -1. If there are no more entries, -1 is returned. If X509_NAME_get_index_by_NID_APIParam_2 is invalid (doesn't correspond to a valid OID) ,then -2 is returned."
X509_NAME_entry_count_APIName returns the total number of entries in X509_NAME_entry_count_APIParam_1,null,X509_NAME_entry_count_APIName returns the total number of entries in X509_NAME_entry_count_APIParam_1,X509_NAME_entry_count_APIName returns the total number of entries in X509_NAME_entry_count_APIParam_1.
You can find out,if OpenSSL was configured with thread support,You can find out if OpenSSL was configured with thread support:,You can find out if OpenSSL was configured with thread support:
The value returned is an internal pointer which must not be freed,null,The value returned is an internal pointer which must not be freed,X509_NAME_get_entry_APIName retrieves the X509_NAME_get_entry_APIParam_0 from X509_NAME_get_entry_APIParam_1 corresponding to index X509_NAME_get_entry_APIParam_2. Acceptable values for X509_NAME_get_entry_APIParam_2 run from 0 to (X509_NAME_entry_count(name) - 1). The value returned is an internal pointer which must not be freed.
X509_NAME_get_entry_APIName retrieves the X509_NAME_get_entry_APIParam_0 from X509_NAME_get_entry_APIParam_1 corresponding to index X509_NAME_get_entry_APIParam_2,null,X509_NAME_get_entry_APIName retrieves the X509_NAME_get_entry_APIParam_0 from X509_NAME_get_entry_APIParam_1 corresponding to index X509_NAME_get_entry_APIParam_2,X509_NAME_get_entry_APIName retrieves the X509_NAME_get_entry_APIParam_0 from X509_NAME_get_entry_APIParam_1 corresponding to index X509_NAME_get_entry_APIParam_2. Acceptable values for X509_NAME_get_entry_APIParam_2 run from 0 to (X509_NAME_entry_count(name) - 1). The value returned is an internal pointer which must not be freed.
The length of the output string written is returned excluding the terminating null,null,The length of the output string written is returned excluding the terminating null,"X509_NAME_get_text_by_NID_APIName, X509_NAME_get_text_by_OBJ_APIName retrieve the ""text"" from the first entry in X509_NAME_get_text_by_NID_APIParam_1 X509_NAME_get_text_by_OBJ_APIParam_1 which matches X509_NAME_get_text_by_NID_APIParam_2 or X509_NAME_get_text_by_OBJ_APIParam_2, if no such entry exists, -1 is returned. At most X509_NAME_get_text_by_NID_APIParam_4 X509_NAME_get_text_by_OBJ_APIParam_4 bytes will be written and the text written to X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 will be null terminated. The length of the output string written is returned excluding the terminating null. If X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 is <NULL> then the amount of space needed in X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 (excluding the final null) is returned."
If X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 is <NULL> the amount of space needed in X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3  is returned,null,If X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 is <NULL> then the amount of space needed in X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 (excluding the final null) is returned,"X509_NAME_get_text_by_NID_APIName, X509_NAME_get_text_by_OBJ_APIName retrieve the ""text"" from the first entry in X509_NAME_get_text_by_NID_APIParam_1 X509_NAME_get_text_by_OBJ_APIParam_1 which matches X509_NAME_get_text_by_NID_APIParam_2 or X509_NAME_get_text_by_OBJ_APIParam_2, if no such entry exists, -1 is returned. At most X509_NAME_get_text_by_NID_APIParam_4 X509_NAME_get_text_by_OBJ_APIParam_4 bytes will be written and the text written to X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 will be null terminated. The length of the output string written is returned excluding the terminating null. If X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 is <NULL> then the amount of space needed in X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 (excluding the final null) is returned."
"X509_NAME_get_text_by_NID_APIName, X509_NAME_get_text_by_OBJ_APIName retrieve the ""text"" from the first entry in X509_NAME_get_text_by_NID_APIParam_1 X509_NAME_get_text_by_OBJ_APIParam_1 which matches X509_NAME_get_text_by_NID_APIParam_2 or X509_NAME_get_text_by_OBJ_APIParam_2, if no such entry exists, -1 is returned",null,"X509_NAME_get_text_by_NID_APIName, X509_NAME_get_text_by_OBJ_APIName retrieve the ""text"" from the first entry in X509_NAME_get_text_by_NID_APIParam_1 X509_NAME_get_text_by_OBJ_APIParam_1 which matches X509_NAME_get_text_by_NID_APIParam_2 or X509_NAME_get_text_by_OBJ_APIParam_2, if no such entry exists, -1 is returned","X509_NAME_get_text_by_NID_APIName, X509_NAME_get_text_by_OBJ_APIName retrieve the ""text"" from the first entry in X509_NAME_get_text_by_NID_APIParam_1 X509_NAME_get_text_by_OBJ_APIParam_1 which matches X509_NAME_get_text_by_NID_APIParam_2 or X509_NAME_get_text_by_OBJ_APIParam_2, if no such entry exists, -1 is returned. At most X509_NAME_get_text_by_NID_APIParam_4 X509_NAME_get_text_by_OBJ_APIParam_4 bytes will be written and the text written to X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 will be null terminated. The length of the output string written is returned excluding the terminating null. If X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 is <NULL> then the amount of space needed in X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 (excluding the final null) is returned."
At most X509_NAME_get_text_by_NID_APIParam_4 X509_NAME_get_text_by_OBJ_APIParam_4 bytes will be written and the text written to X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 will be null terminated,null,At most X509_NAME_get_text_by_NID_APIParam_4 X509_NAME_get_text_by_OBJ_APIParam_4 bytes will be written and the text written to X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 will be null terminated,"X509_NAME_get_text_by_NID_APIName, X509_NAME_get_text_by_OBJ_APIName retrieve the ""text"" from the first entry in X509_NAME_get_text_by_NID_APIParam_1 X509_NAME_get_text_by_OBJ_APIParam_1 which matches X509_NAME_get_text_by_NID_APIParam_2 or X509_NAME_get_text_by_OBJ_APIParam_2, if no such entry exists, -1 is returned. At most X509_NAME_get_text_by_NID_APIParam_4 X509_NAME_get_text_by_OBJ_APIParam_4 bytes will be written and the text written to X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 will be null terminated. The length of the output string written is returned excluding the terminating null. If X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 is <NULL> then the amount of space needed in X509_NAME_get_text_by_NID_APIParam_3 X509_NAME_get_text_by_OBJ_APIParam_3 (excluding the final null) is returned."
Acceptable values for X509_NAME_get_entry_APIParam_2 run from 0 to - 1 -RRB-,null,Acceptable values for X509_NAME_get_entry_APIParam_2 run from 0 to (X509_NAME_entry_count(name) - 1),X509_NAME_get_entry_APIName retrieves the X509_NAME_get_entry_APIParam_0 from X509_NAME_get_entry_APIParam_1 corresponding to index X509_NAME_get_entry_APIParam_2. Acceptable values for X509_NAME_get_entry_APIParam_2 run from 0 to (X509_NAME_entry_count(name) - 1). The value returned is an internal pointer which must not be freed.
