label,old-label,prop,wrong,,cond,sent,paraph
2,2,RSA_public_encrypt_APIParam_3  must point to a memory section large enough to hold the message digest,,,null,to must point to a memory section large enough to hold the message digest (which is smaller than RSA_size(rsa) - 11),RSA_public_decrypt() recovers the message digest from the RSA_public_decrypt_APIParam_1 bytes long signature at RSA_public_decrypt_APIParam_2 using the signer's public key rsa. to must point to a memory section large enough to hold the message digest (which is smaller than RSA_size(rsa) - 11). padding is the padding mode that was used to sign the data.
2,2,ek[i] must have room for EVP_PKEY_size(pubk[i]) bytes.,,,null,"ek is an array of buffers where the public key encrypted secret key will be written, each buffer must contain enough room for the corresponding encrypted key: that is ek[i] must have room for EVP_PKEY_size(pubk[i]) bytes","EVP_SealInit() initializes a cipher context EVP_SealInit_APIParam_1 for encryption with cipher EVP_SealInit_APIParam_2 using a random secret key and IV. EVP_SealInit_APIParam_2 is normally supplied by a function such as EVP_aes_256_cbc(). The secret key is encrypted using one or more public keys, this allows the same encrypted data to be decrypted using any of the corresponding private keys. ek is an array of buffers where the public key encrypted secret key will be written, each buffer must contain enough room for the corresponding encrypted key: that is ek[i] must have room for EVP_PKEY_size(pubk[i]) bytes. The actual size of each encrypted secret key is written to the array ekl. pubk is an array of npubk public keys."
2,2,"As a minimum, the flag CERT_PKEY_VALID must be set for a chain to be usable",,,null,As a minimum the flag CERT_PKEY_VALID must be set for a chain to be usable,As a minimum the flag CERT_PKEY_VALID must be set for a chain to be usable. An application supporting multiple chains with different CA signature algorithms may also wish to check CERT_PKEY_CA_SIGNATURE too. If no chain is suitable a server should fall back to the most secure chain which sets CERT_PKEY_VALID.
2,2,CMS_RecipientInfo_kekri_get0_id retrieves the key information from the CMS_RecipientInfo structure CMS_RecipientInfo_kekri_get0_id_APIParam_1 which must be of type CMS_RECIPINFO_KEK,,,null,CMS_RecipientInfo_kekri_get0_id() retrieves the key information from the CMS_RecipientInfo structure CMS_RecipientInfo_kekri_get0_id_APIParam_1 which must be of type CMS_RECIPINFO_KEK,"CMS_RecipientInfo_kekri_get0_id() retrieves the key information from the CMS_RecipientInfo structure CMS_RecipientInfo_kekri_get0_id_APIParam_1 which must be of type CMS_RECIPINFO_KEK. Any of the remaining parameters can be NULL if the application is not interested in the value of a field. Where a field is optional and absent NULL will be written to the corresponding parameter. The keyEncryptionAlgorithm field is written to CMS_RecipientInfo_kekri_get0_id_APIParam_2, the keyIdentifier field is written to CMS_RecipientInfo_kekri_get0_id_APIParam_3, the date field if present is written to CMS_RecipientInfo_kekri_get0_id_APIParam_4, if the other field is present the components keyAttrId and keyAttr are written to parameters CMS_RecipientInfo_kekri_get0_id_APIParam_5 and CMS_RecipientInfo_kekri_get0_id_APIParam_6."
2,2,"CMS_RecipientInfo_ktri_get0_signer_id retrieves the certificate recipient identifier associated with a specific CMS_RecipientInfo structure CMS_RecipientInfo_ktri_get0_signer_id_APIParam_1 , which must be of type CMS_RECIPINFO_TRANS",,,null,"CMS_RecipientInfo_ktri_get0_signer_id() retrieves the certificate recipient identifier associated with a specific CMS_RecipientInfo structure CMS_RecipientInfo_ktri_get0_signer_id_APIParam_1, which must be of type CMS_RECIPINFO_TRANS","CMS_RecipientInfo_ktri_get0_signer_id() retrieves the certificate recipient identifier associated with a specific CMS_RecipientInfo structure CMS_RecipientInfo_ktri_get0_signer_id_APIParam_1, which must be of type CMS_RECIPINFO_TRANS. Either the keyidentifier will be set in CMS_RecipientInfo_ktri_get0_signer_id_APIParam_2 or both issuer name and serial number in CMS_RecipientInfo_ktri_get0_signer_id_APIParam_3 and CMS_RecipientInfo_ktri_get0_signer_id_APIParam_4."
2,2,The initialization vector iv should be a random value,,,null,The initialization vector iv should be a random value,The initialization vector iv should be a random value. The cipher context ctx should use the initialisation vector iv. The cipher context can be set using EVP_EncryptInit_ex . The hmac context can be set using HMAC_Init_ex .
2,2,The cipher context ctx should use the initialisation vector iv,,,null,The cipher context ctx should use the initialisation vector iv,The initialization vector iv should be a random value. The cipher context ctx should use the initialisation vector iv. The cipher context can be set using EVP_EncryptInit_ex . The hmac context can be set using HMAC_Init_ex .
2,2,This flag should only be set,,,if PKCS7_STREAM was also set in the previous call to PKCS7_sign or PKCS7_encrypt,This flag should only be set if PKCS7_STREAM was also set in the previous call to PKCS7_sign() or PKCS7_encrypt(),"If the PKCS7_STREAM flag is set, streaming is performed. This flag should only be set if PKCS7_STREAM was also set in the previous call to PKCS7_sign() or PKCS7_encrypt()."
2,2,"CMS_RecipientInfo_kekri_id_cmp compares the ID in the CMS_RecipientInfo_kekri_id_cmp_APIParam_2 and CMS_RecipientInfo_kekri_id_cmp_APIParam_3 parameters against the keyIdentifier CMS_RecipientInfo structure CMS_RecipientInfo_kekri_id_cmp_APIParam_1 , which must be of type CMS_RECIPINFO_KEK",,,null,"CMS_RecipientInfo_kekri_id_cmp() compares the ID in the CMS_RecipientInfo_kekri_id_cmp_APIParam_2 and CMS_RecipientInfo_kekri_id_cmp_APIParam_3 parameters against the keyIdentifier CMS_RecipientInfo structure CMS_RecipientInfo_kekri_id_cmp_APIParam_1, which must be of type CMS_RECIPINFO_KEK","CMS_RecipientInfo_kekri_id_cmp() compares the ID in the CMS_RecipientInfo_kekri_id_cmp_APIParam_2 and CMS_RecipientInfo_kekri_id_cmp_APIParam_3 parameters against the keyIdentifier CMS_RecipientInfo structure CMS_RecipientInfo_kekri_id_cmp_APIParam_1, which must be of type CMS_RECIPINFO_KEK. It returns zero if the comparison is successful and non zero if not."
2,2,The hctx needs to be set using HMAC_Init_ex,,,null,The hctx needs to be set using HMAC_Init_ex,"When the client presents a session ticket, the callback function with be called with enc set to 0 indicating that the cb function should retreive a set of parameters. In this case name and iv have already been parsed out of the session ticket. The OpenSSL library expects that the name will be used to retrieve a cryptographic parameters and that the cryptographic context ctx will be set with the retreived parameters and the initialization vector iv. using a function like EVP_DecryptInit_ex . The hctx needs to be set using HMAC_Init_ex ."
2,2,the verification result must be set in any case using the error member of x509_store_ctx,,,null,As the verification procedure may allow to continue the connection in case of failure (by always returning 1) the verification result must be set in any case using the error member of x509_store_ctx so that the calling application will be informed about the detailed result of the verification procedure!,"callback should return 1 to indicate verification success and 0 to indicate verification failure. If SSL_VERIFY_PEER is set and callback returns 0, the handshake will fail. As the verification procedure may allow to continue the connection in case of failure (by always returning 1) the verification result must be set in any case using the error member of x509_store_ctx so that the calling application will be informed about the detailed result of the verification procedure!"
2,2,DH_bits_APIParam_1 must not be NULL.,,,null,dh and dh->p must not be NULL.,dh and dh->p must not be NULL.
2,2,"The OpenSSL library expects that the function will set an arbitary name , initialize iv , and set the cipher context ctx and the hash context hctx",,,null,"The OpenSSL library expects that the function will set an arbitary name, initialize iv, and set the cipher context ctx and the hash context hctx","For new sessions tickets, when the client doesn't present a session ticket, or an attempted retreival of the ticket failed, or a renew option was indicated, the callback function will be called with enc equal to 1. The OpenSSL library expects that the function will set an arbitary name, initialize iv, and set the cipher context ctx and the hash context hctx."
2,2,BIO_set_cipher_APIParam_5 should be set to 1 for encryption and zero for decryption,,,null,enc should be set to 1 for encryption and zero for decryption,BIO_set_cipher() sets the cipher of BIO BIO_set_cipher_APIParam_1 to BIO_set_cipher_APIParam_2 using key key and IV iv. enc should be set to 1 for encryption and zero for decryption.
2,2,RSA_sign_ASN1_OCTET_STRING_APIParam_4 must point to RSA_size bytes of memory,,,null,sigret must point to RSA_size(rsa) bytes of memory,RSA_sign_ASN1_OCTET_STRING() signs the octet string RSA_sign_ASN1_OCTET_STRING_APIParam_2 of size m_len using the private key rsa represented in DER using PKCS #1 padding. It stores the signature in sigret and the signature size in siglen. sigret must point to RSA_size(rsa) bytes of memory.
2,2,Note that BN_rshift_APIParam_3 must be non-negative,,,null,Note that BN_rshift_APIParam_3 must be non-negative,BN_rshift() shifts BN_rshift_APIParam_2 BN_rshift1_APIParam_2 right by BN_rshift_APIParam_3 bits and places the result in BN_rshift_APIParam_1 BN_rshift1_APIParam_1 (r=a/2^n). Note that BN_rshift_APIParam_3 must be non-negative. BN_rshift1() shifts BN_rshift_APIParam_2 BN_rshift1_APIParam_2 right by one and places the result in BN_rshift_APIParam_1 BN_rshift1_APIParam_1 (r=a/2).
2,2,Note that BN_lshift_APIParam_3 must be non-negative,,,null,Note that BN_lshift_APIParam_3 must be non-negative,BN_lshift() shifts BN_lshift_APIParam_2 BN_lshift1_APIParam_2 left by BN_lshift_APIParam_3 bits and places the result in BN_lshift_APIParam_1 BN_lshift1_APIParam_1 (r=a*2^n). Note that BN_lshift_APIParam_3 must be non-negative. BN_lshift1() shifts BN_lshift_APIParam_2 BN_lshift1_APIParam_2 left by one and places the result in BN_lshift_APIParam_1 BN_lshift1_APIParam_1 (r=2*a).
2,2,More data must be read from the underlying BIO layer operation,,,null,More data must be read from the underlying BIO layer operation,More data must be read from the underlying BIO layer in order to complete the actual SSL_*() operation. A call to SSL_get_error(3) should return SSL_ERROR_WANT_READ.
2,2,EVP_DigestVerifyInit_APIParam_1 must be initialized with EVP_MD_CTX_init before calling this function,,,null,EVP_DigestVerifyInit_APIParam_1 must be initialized with EVP_MD_CTX_init() before calling this function,"EVP_DigestVerifyInit() sets up verification context EVP_DigestVerifyInit_APIParam_1 to use digest type from ENGINE impl and public key pkey. EVP_DigestVerifyInit_APIParam_1 must be initialized with EVP_MD_CTX_init() before calling this function. If EVP_DigestVerifyInit_APIParam_2 is not NULL, the EVP_PKEY_CTX of the verification operation will be written to EVP_DigestVerifyInit_APIParam_2: this can be used to set alternative verification options. Note that any existing value in EVP_DigestVerifyInit_APIParam_2 is overwritten. The EVP_PKEY_CTX value returned must not be freed directly by the application (it will be freed automatically when the EVP_MD_CTX is freed)."
2,2,HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 must have been created with HMAC_CTX_new before the first use of an HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 in this function,,,null,HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 must have been created with HMAC_CTX_new() before the first use of an HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 in this function,HMAC_Init_ex() initializes or reuses a HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 structure to use the hash function HMAC_APIParam_1 and key HMAC_Init_ex_APIParam_2 HMAC_Init_APIParam_2 HMAC_Init_ex_APIParam_2. If both are NULL (or HMAC_APIParam_1 is the same as the previous digest used by HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 and HMAC_Init_ex_APIParam_2 HMAC_Init_APIParam_2 HMAC_Init_ex_APIParam_2 is NULL) the existing key is reused. HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 must have been created with HMAC_CTX_new() before the first use of an HMAC_Init_ex_APIParam_1 HMAC_Init_APIParam_1 HMAC_Init_ex_APIParam_1 in this function. N.B. HMAC_Init() had this undocumented behaviour in previous versions of OpenSSL - failure to switch to HMAC_Init_ex() in programs that expect it will cause them to stop working.
2,2,The PKCS7 structure should be obtained from an initial call to PKCS7_sign with the flag PKCS7_PARTIAL set or in the case or re-signing a valid PKCS7 signed data structure,,,null,The PKCS7 structure should be obtained from an initial call to PKCS7_sign() with the flag PKCS7_PARTIAL set or in the case or re-signing a valid PKCS7 signed data structure,The PKCS7 structure should be obtained from an initial call to PKCS7_sign() with the flag PKCS7_PARTIAL set or in the case or re-signing a valid PKCS7 signed data structure.
2,2,Those containing a SSL_CTX_set0_verify_cert_store_APIParam_2 SSL_set0_chain_cert_store_APIParam_2 SSL_CTX_set1_chain_cert_store_APIParam_2 SSL_set1_verify_cert_store_APIParam_2 SSL_set1_chain_cert_store_APIParam_2 SSL_set0_verify_cert_store_APIParam_2 SSL_CTX_set0_chain_cert_store_APIParam_2 SSL_CTX_set1_verify_cert_store_APIParam_2 do not increment reference counts and the supplied store MUST NOT be freed after the operation,,,null,Those containing a SSL_CTX_set0_verify_cert_store_APIParam_2 SSL_set0_chain_cert_store_APIParam_2 SSL_CTX_set1_chain_cert_store_APIParam_2 SSL_set1_verify_cert_store_APIParam_2 SSL_set1_chain_cert_store_APIParam_2 SSL_set0_verify_cert_store_APIParam_2 SSL_CTX_set0_chain_cert_store_APIParam_2 SSL_CTX_set1_verify_cert_store_APIParam_2 do not increment reference counts and the supplied store MUST NOT be freed after the operation,All these functions are implemented as macros. Those containing a 1 increment the reference count of the supplied store so it must be freed at some point after the operation. Those containing a SSL_CTX_set0_verify_cert_store_APIParam_2 SSL_set0_chain_cert_store_APIParam_2 SSL_CTX_set1_chain_cert_store_APIParam_2 SSL_set1_verify_cert_store_APIParam_2 SSL_set1_chain_cert_store_APIParam_2 SSL_set0_verify_cert_store_APIParam_2 SSL_CTX_set0_chain_cert_store_APIParam_2 SSL_CTX_set1_verify_cert_store_APIParam_2 do not increment reference counts and the supplied store MUST NOT be freed after the operation.
2,2,EVP_EncryptInit_ex_APIParam_1 must be initialized before calling this function,,,null,EVP_EncryptInit_ex_APIParam_1 must be initialized before calling this function,"EVP_EncryptInit_ex() sets up cipher context EVP_EncryptInit_ex_APIParam_1 for encryption with cipher EVP_EncryptInit_ex_APIParam_2 from ENGINE impl. EVP_EncryptInit_ex_APIParam_1 must be initialized before calling this function. EVP_EncryptInit_ex_APIParam_2 is normally supplied by a function such as EVP_aes_256_cbc(). If impl is NULL then the default implementation is used. key is the symmetric key to use and iv is the IV to use (if necessary), the actual number of bytes used for the key and IV depends on the cipher. It is possible to set all parameters to NULL except EVP_EncryptInit_ex_APIParam_2 in an initial call and supply the remaining parameters in subsequent calls, all of which have EVP_EncryptInit_ex_APIParam_2 set to NULL. This is done when the default cipher parameters are not appropriate."
2,2,The key type used must match EVP_PKEY_CTX_ctrl_APIParam_2,,,if it is not -1,The key type used must match EVP_PKEY_CTX_ctrl_APIParam_2 if it is not -1,The function EVP_PKEY_CTX_ctrl() sends a control operation to the context EVP_PKEY_CTX_ctrl_APIParam_1. The key type used must match EVP_PKEY_CTX_ctrl_APIParam_2 if it is not -1. The parameter EVP_PKEY_CTX_ctrl_APIParam_3 is a mask indicating which operations the control can be applied to. The control command is indicated in cmd and any additional arguments in p1 and p2.
2,2,The encrypted final data is written to EVP_EncryptFinal_ex_APIParam_2 EVP_EncryptUpdate_APIParam_2 which should have sufficient space for one cipher block,,,null,The encrypted final data is written to EVP_EncryptFinal_ex_APIParam_2 EVP_EncryptUpdate_APIParam_2 which should have sufficient space for one cipher block,"If padding is enabled (the default) ,then EVP_EncryptFinal_ex() encrypts the ""final"" data, that is any data that remains in a partial block. It uses standard block padding (aka PKCS padding). The encrypted final data is written to EVP_EncryptFinal_ex_APIParam_2 EVP_EncryptUpdate_APIParam_2 which should have sufficient space for one cipher block. The number of bytes written is placed in outl. After this function is called the encryption operation is finished and no further calls to EVP_EncryptUpdate() should be made."
2,2,"EVP_CipherInit_ex_APIParam_6 should be set to 1 for encryption , 0 for decryption and -1 to leave the value unchanged",,,null,"It should be set to 1 for encryption, 0 for decryption and -1 to leave the value unchanged (the actual value of 'enc' being supplied in a previous call)","EVP_CipherInit_ex(), EVP_CipherUpdate() and EVP_CipherFinal_ex() are functions that can be used for decryption or encryption. The operation performed depends on the value of the enc parameter. It should be set to 1 for encryption, 0 for decryption and -1 to leave the value unchanged (the actual value of 'enc' being supplied in a previous call)."
2,2,The CMS_ContentInfo structure should be obtained from an initial call to CMS_sign_APIName with the flag CMS_PARTIAL set or in the case or re-signing a valid CMS_ContentInfo SignedData structure,,,null,The CMS_ContentInfo structure should be obtained from an initial call to CMS_sign() with the flag CMS_PARTIAL set or in the case or re-signing a valid CMS_ContentInfo SignedData structure,The CMS_ContentInfo structure should be obtained from an initial call to CMS_sign() with the flag CMS_PARTIAL set or in the case or re-signing a valid CMS_ContentInfo SignedData structure.
2,2,The algorithm passed in the cipher parameter must support ASN1 encoding of its parameters,,,null,The algorithm passed in the cipher parameter must support ASN1 encoding of its parameters,The algorithm passed in the cipher parameter must support ASN1 encoding of its parameters.
2,2,EVP_EncryptUpdate_APIParam_2 should contain sufficient room,,,null,The amount of data written depends on the block alignment of the encrypted data: as a result the amount of data written may be anything from zero bytes to (inl + cipher_block_size - 1) so EVP_EncryptUpdate_APIParam_2 should contain sufficient room,EVP_EncryptUpdate() encrypts inl bytes from the buffer EVP_EncryptUpdate_APIParam_0 and writes the encrypted version to EVP_EncryptUpdate_APIParam_2. This function can be called multiple times to encrypt successive blocks of data. The amount of data written depends on the block alignment of the encrypted data: as a result the amount of data written may be anything from zero bytes to (inl + cipher_block_size - 1) so EVP_EncryptUpdate_APIParam_2 should contain sufficient room. The actual number of bytes written is placed in outl.
2,2,the total amount of data encrypted or decrypted must be a multiple of the block size or an error will occur,,,null,"If the pad parameter is zero ,then no padding is performed, the total amount of data encrypted or decrypted must then be a multiple of the block size or an error will occur","EVP_CIPHER_CTX_set_padding() enables or disables padding. By default encryption operations are padded using standard block padding and the padding is checked and removed when decrypting. If the pad parameter is zero ,then no padding is performed, the total amount of data encrypted or decrypted must then be a multiple of the block size or an error will occur."
2,2,Files dh1024.pem and dh512.pem contain old parameters that must not be used by applications,,,null,Files dh1024.pem and dh512.pem contain old parameters that must not be used by applications,"Files dh2048.pem, and dh4096.pem in the 'apps' directory of the current version of the OpenSSL distribution contain the 'SKIP' DH parameters, which use safe primes and were generated verifiably pseudo-randomly. These files can be converted into C code using the -C option of the dhparam(1) application. Generation of custom DH parameters during installation should still be preferred to stop an attacker from specializing on a commonly used group. Files dh1024.pem and dh512.pem contain old parameters that must not be used by applications."
2,2,This value should be passed in the SSL_set_tlsext_status_type_APIParam_2 argument,,,null,This value should be passed in the SSL_set_tlsext_status_type_APIParam_2 argument,A client application may request that a server send back an OCSP status response (also known as OCSP stapling). To do so the client should call the SSL_set_tlsext_status_type() function prior to the start of the handshake. Currently the only supported type is TLSEXT_STATUSTYPE_ocsp. This value should be passed in the SSL_set_tlsext_status_type_APIParam_2 argument. The client should additionally provide a callback function to decide what to do with the returned OCSP response by calling SSL_CTX_set_tlsext_status_cb(). The callback function should determine whether the returned OCSP response is acceptable or not. The callback will be passed as an argument the value previously set via a call to SSL_CTX_set_tlsext_status_arg(). Note that the callback will not be called in the event of a handshake where session resumption occurs (because there are no Certificates exchanged in such a handshake).
2,2,The client should additionally provide a callback function to decide what to do with the returned OCSP response by calling SSL_CTX_set_tlsext_status_cb,,,null,The client should additionally provide a callback function to decide what to do with the returned OCSP response by calling SSL_CTX_set_tlsext_status_cb(),A client application may request that a server send back an OCSP status response (also known as OCSP stapling). To do so the client should call the SSL_set_tlsext_status_type() function prior to the start of the handshake. Currently the only supported type is TLSEXT_STATUSTYPE_ocsp. This value should be passed in the SSL_set_tlsext_status_type_APIParam_2 argument. The client should additionally provide a callback function to decide what to do with the returned OCSP response by calling SSL_CTX_set_tlsext_status_cb(). The callback function should determine whether the returned OCSP response is acceptable or not. The callback will be passed as an argument the value previously set via a call to SSL_CTX_set_tlsext_status_arg(). Note that the callback will not be called in the event of a handshake where session resumption occurs (because there are no Certificates exchanged in such a handshake).
2,2,ECDSA_sign_ex_APIParam_2 must point to ECDSA_size bytes of memory,,,null,Note: ECDSA_sign_ex_APIParam_2 must point to ECDSA_size bytes of memory,ECDSA_sign_ex() computes a digital signature of the ECDSA_do_sign_ex_APIParam_2 bytes hash value ECDSA_sign_ex_APIParam_2 using the private EC key ECDSA_set_method_APIParam_1 ECDSA_sign_setup_APIParam_1 ECDSA_size_APIParam_1 and the optional pre-computed values kinv and rp. The DER encoded signatures is stored in ECDSA_sign_ex_APIParam_2 and it's length is returned in sig_len. Note: ECDSA_sign_ex_APIParam_2 must point to ECDSA_size bytes of memory. The parameter ECDSA_sign_ex_APIParam_1 is ignored.
2,2,The first call should have EVP_OpenInit_APIParam_6 set to NULL and it should be called again with EVP_OpenInit_APIParam_2 set to NULL,,,null,The first call should have priv set to NULL and (after setting any cipher parameters) it should be called again with EVP_OpenInit_APIParam_2 set to NULL,It is possible to call EVP_OpenInit() twice in the same way as EVP_DecryptInit(). The first call should have priv set to NULL and (after setting any cipher parameters) it should be called again with EVP_OpenInit_APIParam_2 set to NULL.
2,2,session ids must be unique,,,null,", session ids must be unique","Since the sessions must be distinguished, session ids must be unique. Without the callback a random number is used, so that the probability of generating the same session id is extremely small (2^128 possible ids for an SSLv2 session, 2^256 for SSLv3/TLSv1). In order to assure the uniqueness of the generated session id, the callback must call SSL_has_matching_session_id() and generate another id if a conflict occurs. If an id conflict is not resolved, the handshake will fail. If the application codes eg a unique host id, a unique process number, and a unique sequence number into the session id, uniqueness could easily be achieved without randomness added (it should however be taken care that no confidential information is leaked this way). If the application can not guarantee uniqueness, it is recommended to use the maximum id_len and fill in the bytes not used to code special information with random data to avoid collisions."
2,2,It is not recommended to change the id_len for SSLv2 sessions,,,null,It is not recommended to change the id_len for SSLv2 sessions,"If a SSLv2 session id is generated and id_len is reduced, it will be restored after the callback has finished and the session id will be padded with 0x00. It is not recommended to change the id_len for SSLv2 sessions. The callback can use the SSL_get_version(3) function to check, whether the session is of type SSLv2."
2,2,the EVP_PKEY_encrypt_APIParam_3 should contain the length of the out buffer,,,"If out is not NULL , before the call","If out is not NULL ,then before the call the outlen parameter should contain the length of the out buffer, if the call is successful the decrypted data is written to out and the amount of data written to outlen","The EVP_PKEY_decrypt() function performs a public key decryption operation using EVP_PKEY_decrypt_APIParam_1. The data to be decrypted is specified using the EVP_PKEY_decrypt_APIParam_0 and inlen parameters. If out is NULL, then the maximum size of the output buffer is written to the outlen parameter. If out is not NULL ,then before the call the outlen parameter should contain the length of the out buffer, if the call is successful the decrypted data is written to out and the amount of data written to outlen."
2,2,the callback must never increase id_len or write to the location SSL_has_matching_session_id_APIParam_2 exceeding the given limit,,,null,The callback is only allowed to generate a shorter id and reduce id_len; the callback must never increase id_len or write to the location SSL_has_matching_session_id_APIParam_2 exceeding the given limit,The callback function receives a pointer to the memory location to put SSL_has_matching_session_id_APIParam_2 into and a pointer to the maximum allowed length id_len. The buffer at location SSL_has_matching_session_id_APIParam_2 is only guaranteed to have the size id_len. The callback is only allowed to generate a shorter id and reduce id_len; the callback must never increase id_len or write to the location SSL_has_matching_session_id_APIParam_2 exceeding the given limit.
2,2,it is recommended to use the maximum id_len and fill in the bytes not used to code special information with random data to avoid collisions,,,If the application can not guarantee uniqueness,"If the application can not guarantee uniqueness, it is recommended to use the maximum id_len and fill in the bytes not used to code special information with random data to avoid collisions","Since the sessions must be distinguished, session ids must be unique. Without the callback a random number is used, so that the probability of generating the same session id is extremely small (2^128 possible ids for an SSLv2 session, 2^256 for SSLv3/TLSv1). In order to assure the uniqueness of the generated session id, the callback must call SSL_has_matching_session_id() and generate another id if a conflict occurs. If an id conflict is not resolved, the handshake will fail. If the application codes eg a unique host id, a unique process number, and a unique sequence number into the session id, uniqueness could easily be achieved without randomness added (it should however be taken care that no confidential information is leaked this way). If the application can not guarantee uniqueness, it is recommended to use the maximum id_len and fill in the bytes not used to code special information with random data to avoid collisions."
2,2,This flag must be used together with SSL_VERIFY_PEER,,,null,This flag must be used together with SSL_VERIFY_PEER,"Server mode: if the client did not return a certificate, the TLS/SSL handshake is immediately terminated with a ""handshake failure"" alert. This flag must be used together with SSL_VERIFY_PEER."
