If the threading mode is Single-thread or Multi-thread this routine returns a NULL pointer,null,If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.,This interface returns a pointer the sqlite3_mutex object that serializes access to the database connection given in the argument when the threading mode is Serialized.If the threading mode is Single-thread or Multi-thread then this routine returns a NULL pointer.
it does so,If sqlite3_db_cacheflush_APIName needs to obtain extra database locks before dirty pages can be flushed to disk,"If sqlite3_db_cacheflush_APIName needs to obtain extra database locks before dirty pages can be flushed to disk, it does so.","If sqlite3_db_cacheflush_APIName needs to obtain extra database locks before dirty pages can be flushed to disk, it does so.If those locks cannot be obtained immediately and there is a busy-handler callback configured, it is invoked in the usual manner.If the required lock still cannot be obtained, then the database is skipped and an attempt made to flush any dirty pages belonging to the next (if any) database.If any databases are skipped because locks cannot be obtained, but no other error occurs, sqlite3_db_cacheflush_APIName returns SQLITE_BUSY_API_constant."
omitting any initial `` lib '',null,"and omitting any initial ""lib"".","The entry point is sqlite3_load_extension_APIParam_3.zProc may be 0, in which case SQLite will try to come up with an entry point name on its own.It first tries ""sqlite3_extension_init"".If that does not work, it constructs a name ""sqlite3_X_init"" where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last ""/"" to the first following "".""and omitting any initial ""lib"".The sqlite3_load_extension_APIName interface returns SQLITE_OK_API_constant on success and SQLITE_ERROR_API_constant if something goes wrong.If an error occurs and sqlite3_load_extension_APIParam_4 is not 0, then the sqlite3_load_extension_APIName interface shall attempt to fill *pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName.The calling function should free this memory by calling sqlite3_free_APIName."
"If any other error occurs while flushing dirty pages to disk , processing is abandoned and an SQLite error code be returned by sqlite3_db_cacheflush_APIName to the caller immediately",null,"If any other error occurs while flushing dirty pages to disk (for example an IO error or out-of-memory condition), then processing is abandoned and an SQLite error code be returned by sqlite3_db_cacheflush_APIName to the caller immediately.","If any other error occurs while flushing dirty pages to disk (for example an IO error or out-of-memory condition), then processing is abandoned and an SQLite error code be returned by sqlite3_db_cacheflush_APIName to the caller immediately."
The sqlite3_load_extension_APIName interface attempts to load an SQLite extension library contained in the file sqlite3_load_extension_APIParam_2,null,The sqlite3_load_extension_APIName interface attempts to load an SQLite extension library contained in the file sqlite3_load_extension_APIParam_2.,"The sqlite3_load_extension_APIName interface attempts to load an SQLite extension library contained in the file sqlite3_load_extension_APIParam_2.If the file cannot be loaded directly, attempts are made to load with various operating-system specific extensions added.So for example, if ""samplelib"" cannot be loaded, then names like ""samplelib.so"" or ""samplelib.dylib"" or ""samplelib.dll"" might be tried also."
it is invoked in the usual manner,If those locks can not be obtained immediately and there is a busy-handler callback configured,"If those locks cannot be obtained immediately and there is a busy-handler callback configured, it is invoked in the usual manner.","If sqlite3_db_cacheflush_APIName needs to obtain extra database locks before dirty pages can be flushed to disk, it does so.If those locks cannot be obtained immediately and there is a busy-handler callback configured, it is invoked in the usual manner.If the required lock still cannot be obtained, then the database is skipped and an attempt made to flush any dirty pages belonging to the next (if any) database.If any databases are skipped because locks cannot be obtained, but no other error occurs, sqlite3_db_cacheflush_APIName returns SQLITE_BUSY_API_constant."
The calling function should free this memory by calling sqlite3_free_APIName,null,The calling function should free this memory by calling sqlite3_free_APIName.,"The entry point is sqlite3_load_extension_APIParam_3.zProc may be 0, in which case SQLite will try to come up with an entry point name on its own.It first tries ""sqlite3_extension_init"".If that does not work, it constructs a name ""sqlite3_X_init"" where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last ""/"" to the first following "".""and omitting any initial ""lib"".The sqlite3_load_extension_APIName interface returns SQLITE_OK_API_constant on success and SQLITE_ERROR_API_constant if something goes wrong.If an error occurs and sqlite3_load_extension_APIParam_4 is not 0, then the sqlite3_load_extension_APIName interface shall attempt to fill *pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName.The calling function should free this memory by calling sqlite3_free_APIName."
See also the load_extension_APIName SQL function,null,See also the load_extension_APIName SQL function.,See also the load_extension_APIName SQL function.
The use of the sqlite3_enable_load_extension_APIName interface should be avoided,null,The use of the sqlite3_enable_load_extension_APIName interface should be avoided.,Security warning: It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface.The use of the sqlite3_enable_load_extension_APIName interface should be avoided.This will keep the SQL function load_extension_APIName disabled and prevent SQL injections from giving attackers access to extension loading capabilities.
The name of a result column is the value of the `` AS '' clause for that column,if there is an AS clause,"The name of a result column is the value of the ""AS"" clause for that column, if there is an AS clause.","The name of a result column is the value of the ""AS"" clause for that column, if there is an AS clause.If there is no AS clause then the name of the column is unspecified and may change from one release of SQLite to the next."
"Extension loading must be enabled using sqlite3_enable_load_extension_APIName or sqlite3_db_config_APIName prior to calling this API, otherwise an error will be returned",null,"Extension loading must be enabled using sqlite3_enable_load_extension_APIName or sqlite3_db_config_APIName prior to calling this API, otherwise an error will be returned.","Extension loading must be enabled using sqlite3_enable_load_extension_APIName or sqlite3_db_config_APIName prior to calling this API, otherwise an error will be returned."
Security warning,null,Security warning: It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface.,Security warning: It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface.The use of the sqlite3_enable_load_extension_APIName interface should be avoided.This will keep the SQL function load_extension_APIName disabled and prevent SQL injections from giving attackers access to extension loading capabilities.
This API is only available,if the library is built with pre-processor symbol SQLITE_ENABLE_STMT_SCANSTATUS defined,This API is only available if the library is built with pre-processor symbol SQLITE_ENABLE_STMT_SCANSTATUS defined.,This API is only available if the library is built with pre-processor symbol SQLITE_ENABLE_STMT_SCANSTATUS defined.
These routines work only with protected sqlite3_value objects,null,These routines work only with protected sqlite3_value objects.,These routines work only with protected sqlite3_value objects.Any attempt to use these routines on an unprotected sqlite3_value is not threadsafe.
It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface,null,Security warning: It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface.,Security warning: It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface.The use of the sqlite3_enable_load_extension_APIName interface should be avoided.This will keep the SQL function load_extension_APIName disabled and prevent SQL injections from giving attackers access to extension loading capabilities.
"These routines extract type , size , and content information from protected sqlite3_value objects",null,"These routines extract type, size, and content information from protected sqlite3_value objects.","These routines extract type, size, and content information from protected sqlite3_value objects.Protected sqlite3_value objects are used to pass parameter information into implementation of application-defined SQL functions and virtual tables."
any dirty pages in the pager-cache that are not currently in use are written out to disk,If a write-transaction is open on database connection sqlite3_db_cacheflush_APIParam_1 when the sqlite3_db_cacheflush_APIName interface invoked,"If a write-transaction is open on database connection sqlite3_db_cacheflush_APIParam_1 when the sqlite3_db_cacheflush_APIName interface invoked, any dirty pages in the pager-cache that are not currently in use are written out to disk.","If a write-transaction is open on database connection sqlite3_db_cacheflush_APIParam_1 when the sqlite3_db_cacheflush_APIName interface invoked, any dirty pages in the pager-cache that are not currently in use are written out to disk.A dirty page may be in use if a database cursor created by an active SQL statement is reading from it, or if it is page 1 of a database file (page 1 is always ""in use"").The sqlite3_db_cacheflush_APIName interface flushes caches for all schemas - ""main"", ""temp"", and any attached databases."
"zProc may be 0 , in which case SQLite will try to come up with an entry point name on its own",null,"zProc may be 0, in which case SQLite will try to come up with an entry point name on its own.","The entry point is sqlite3_load_extension_APIParam_3.zProc may be 0, in which case SQLite will try to come up with an entry point name on its own.It first tries ""sqlite3_extension_init"".If that does not work, it constructs a name ""sqlite3_X_init"" where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last ""/"" to the first following "".""and omitting any initial ""lib"".The sqlite3_load_extension_APIName interface returns SQLITE_OK_API_constant on success and SQLITE_ERROR_API_constant if something goes wrong.If an error occurs and sqlite3_load_extension_APIParam_4 is not 0, then the sqlite3_load_extension_APIName interface shall attempt to fill *pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName.The calling function should free this memory by calling sqlite3_free_APIName."
This will keep the SQL function load_extension_APIName disabled and prevent SQL injections from giving attackers access to extension loading capabilities,null,This will keep the SQL function load_extension_APIName disabled and prevent SQL injections from giving attackers access to extension loading capabilities.,Security warning: It is recommended that the SQLITE_DBCONFIG_ENABLE_LOAD_EXTENSION_API_constant method be used to enable only this interface.The use of the sqlite3_enable_load_extension_APIName interface should be avoided.This will keep the SQL function load_extension_APIName disabled and prevent SQL injections from giving attackers access to extension loading capabilities.
Any attempt to use these routines on an unprotected sqlite3_value is not threadsafe,null,Any attempt to use these routines on an unprotected sqlite3_value is not threadsafe.,These routines work only with protected sqlite3_value objects.Any attempt to use these routines on an unprotected sqlite3_value is not threadsafe.
or if it is page 1 of a database file,if a database cursor created by an active SQL statement is reading from it,"A dirty page may be in use if a database cursor created by an active SQL statement is reading from it, or if it is page 1 of a database file (page 1 is always ""in use"").","If a write-transaction is open on database connection sqlite3_db_cacheflush_APIParam_1 when the sqlite3_db_cacheflush_APIName interface invoked, any dirty pages in the pager-cache that are not currently in use are written out to disk.A dirty page may be in use if a database cursor created by an active SQL statement is reading from it, or if it is page 1 of a database file (page 1 is always ""in use"").The sqlite3_db_cacheflush_APIName interface flushes caches for all schemas - ""main"", ""temp"", and any attached databases."
A dirty page may be in use,null,"A dirty page may be in use if a database cursor created by an active SQL statement is reading from it, or if it is page 1 of a database file (page 1 is always ""in use"").","If a write-transaction is open on database connection sqlite3_db_cacheflush_APIParam_1 when the sqlite3_db_cacheflush_APIName interface invoked, any dirty pages in the pager-cache that are not currently in use are written out to disk.A dirty page may be in use if a database cursor created by an active SQL statement is reading from it, or if it is page 1 of a database file (page 1 is always ""in use"").The sqlite3_db_cacheflush_APIName interface flushes caches for all schemas - ""main"", ""temp"", and any attached databases."
the database is skipped and an attempt made to flush any dirty pages belonging to the next database,If the required lock still can not be obtained,"If the required lock still cannot be obtained, then the database is skipped and an attempt made to flush any dirty pages belonging to the next (if any) database.","If sqlite3_db_cacheflush_APIName needs to obtain extra database locks before dirty pages can be flushed to disk, it does so.If those locks cannot be obtained immediately and there is a busy-handler callback configured, it is invoked in the usual manner.If the required lock still cannot be obtained, then the database is skipped and an attempt made to flush any dirty pages belonging to the next (if any) database.If any databases are skipped because locks cannot be obtained, but no other error occurs, sqlite3_db_cacheflush_APIName returns SQLITE_BUSY_API_constant."
Other interfaces might change the datatype for an sqlite3_value object,null,Other interfaces might change the datatype for an sqlite3_value object.,"The sqlite3_value_type_APIName interface returns the datatype code for the initial datatype of the sqlite3_value object V. sqlite3_value_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.Other interfaces might change the datatype for an sqlite3_value object.For example, if the datatype is initially SQLITE_INTEGER_API_constant and sqlite3_value_text_APIName is called to extract a text value for that integer, then subsequent calls to sqlite3_value_type_APIName might return SQLITE_TEXT_API_constant.Whether or not a persistent internal datatype conversion occurs is undefined and may change from one release of SQLite to the next."
the name of the column is unspecified and may change from one release of SQLite to the next,If there is no AS clause,If there is no AS clause then the name of the column is unspecified and may change from one release of SQLite to the next.,"The name of a result column is the value of the ""AS"" clause for that column, if there is an AS clause.If there is no AS clause then the name of the column is unspecified and may change from one release of SQLite to the next."
Protected sqlite3_value objects are used to pass parameter information into implementation of application-defined SQL functions and virtual tables,null,Protected sqlite3_value objects are used to pass parameter information into implementation of application-defined SQL functions and virtual tables.,"These routines extract type, size, and content information from protected sqlite3_value objects.Protected sqlite3_value objects are used to pass parameter information into implementation of application-defined SQL functions and virtual tables."
attempts are made to load with various operating-system specific extensions added,If the file can not be loaded directly,"If the file cannot be loaded directly, attempts are made to load with various operating-system specific extensions added.","The sqlite3_load_extension_APIName interface attempts to load an SQLite extension library contained in the file sqlite3_load_extension_APIParam_2.If the file cannot be loaded directly, attempts are made to load with various operating-system specific extensions added.So for example, if ""samplelib"" cannot be loaded, then names like ""samplelib.so"" or ""samplelib.dylib"" or ""samplelib.dll"" might be tried also."
The sqlite3_value_text16be_APIName and sqlite3_value_text16le_APIName interfaces extract UTF-16 strings as big-endian and little-endian respectively,null,The sqlite3_value_text16be_APIName and sqlite3_value_text16le_APIName interfaces extract UTF-16 strings as big-endian and little-endian respectively.,The sqlite3_value_text16_APIName interface extracts a UTF-16 string in the native byte-order of the host machine.The sqlite3_value_text16be_APIName and sqlite3_value_text16le_APIName interfaces extract UTF-16 strings as big-endian and little-endian respectively.
The datatype after conversion be returned by sqlite3_value_numeric_type_APIName,null,The datatype after conversion be returned by sqlite3_value_numeric_type_APIName.,"The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value.This means that an attempt is made to convert the value to an integer or floating point.If such a conversion is possible without loss of information (in other words, if the value is a string that looks like a number) then the conversion is performed.Otherwise no conversion occurs.The datatype after conversion be returned by sqlite3_value_numeric_type_APIName."
Otherwise no conversion occurs,null,Otherwise no conversion occurs.,"The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value.This means that an attempt is made to convert the value to an integer or floating point.If such a conversion is possible without loss of information (in other words, if the value is a string that looks like a number) then the conversion is performed.Otherwise no conversion occurs.The datatype after conversion be returned by sqlite3_value_numeric_type_APIName."
The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value,null,The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value.,"The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value.This means that an attempt is made to convert the value to an integer or floating point.If such a conversion is possible without loss of information (in other words, if the value is a string that looks like a number) then the conversion is performed.Otherwise no conversion occurs.The datatype after conversion be returned by sqlite3_value_numeric_type_APIName."
The sqlite3_value_text16_APIName interface extracts a UTF-16 string in the native byte-order of the host machine,null,The sqlite3_value_text16_APIName interface extracts a UTF-16 string in the native byte-order of the host machine.,The sqlite3_value_text16_APIName interface extracts a UTF-16 string in the native byte-order of the host machine.The sqlite3_value_text16be_APIName and sqlite3_value_text16le_APIName interfaces extract UTF-16 strings as big-endian and little-endian respectively.
The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0,null,The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0.,"If sqlite3_value object sqlite3_value_pointer_APIParam_1 was initialized using sqlite3_bind_pointer_APIName or sqlite3_result_pointer_APIName and if strcmp_APIParam_1 and sqlite3_value_pointer_APIParam_2 are strings that compare equal according to strcmp_APIName, then sqlite3_value_pointer_APIName will return the pointer P.  Otherwise, sqlite3_value_pointer_APIName returns a NULL.The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0."
"The sqlite3_value_type_APIName interface returns the datatype code for the initial datatype of the sqlite3_value object V. sqlite3_value_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant",null,"The sqlite3_value_type_APIName interface returns the datatype code for the initial datatype of the sqlite3_value object V. sqlite3_value_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.","The sqlite3_value_type_APIName interface returns the datatype code for the initial datatype of the sqlite3_value object V. sqlite3_value_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.Other interfaces might change the datatype for an sqlite3_value object.For example, if the datatype is initially SQLITE_INTEGER_API_constant and sqlite3_value_text_APIName is called to extract a text value for that integer, then subsequent calls to sqlite3_value_type_APIName might return SQLITE_TEXT_API_constant.Whether or not a persistent internal datatype conversion occurs is undefined and may change from one release of SQLite to the next."
The sqlite3_value_frombind_APIName interface returns non-zero if the value sqlite3_value_frombind_APIParam_1 originated from one of the sqlite3_bind_APIName interfaces,null,The sqlite3_value_frombind_APIName interface returns non-zero if the value sqlite3_value_frombind_APIParam_1 originated from one of the sqlite3_bind_APIName interfaces.,"The sqlite3_value_frombind_APIName interface returns non-zero if the value sqlite3_value_frombind_APIParam_1 originated from one of the sqlite3_bind_APIName interfaces.If sqlite3_value_frombind_APIParam_1 comes from an SQL literal value, or a table column, and expression, then sqlite3_value_frombind_APIName returns zero."
"If sqlite3_value object sqlite3_value_pointer_APIParam_1 was initialized using sqlite3_bind_pointer_APIName or sqlite3_result_pointer_APIName and if strcmp_APIParam_1 and sqlite3_value_pointer_APIParam_2 are strings that compare equal according to strcmp_APIName, sqlite3_value_pointer_APIName will return the pointer P.  Otherwise, sqlite3_value_pointer_APIName returns a NULL",null,"If sqlite3_value object sqlite3_value_pointer_APIParam_1 was initialized using sqlite3_bind_pointer_APIName or sqlite3_result_pointer_APIName and if strcmp_APIParam_1 and sqlite3_value_pointer_APIParam_2 are strings that compare equal according to strcmp_APIName, then sqlite3_value_pointer_APIName will return the pointer P.  Otherwise, sqlite3_value_pointer_APIName returns a NULL.","If sqlite3_value object sqlite3_value_pointer_APIParam_1 was initialized using sqlite3_bind_pointer_APIName or sqlite3_result_pointer_APIName and if strcmp_APIParam_1 and sqlite3_value_pointer_APIParam_2 are strings that compare equal according to strcmp_APIName, then sqlite3_value_pointer_APIName will return the pointer P.  Otherwise, sqlite3_value_pointer_APIName returns a NULL.The sqlite3_bind_pointer_APIName routine is part of the pointer passing interface added for SQLite 3.20.0."
"So , , names like `` samplelib.so '' or `` samplelib.dylib '' or `` samplelib.dll '' might be tried also",if `` samplelib '' can not be loaded,"So for example, if ""samplelib"" cannot be loaded, then names like ""samplelib.so"" or ""samplelib.dylib"" or ""samplelib.dll"" might be tried also.","The sqlite3_load_extension_APIName interface attempts to load an SQLite extension library contained in the file sqlite3_load_extension_APIParam_2.If the file cannot be loaded directly, attempts are made to load with various operating-system specific extensions added.So for example, if ""samplelib"" cannot be loaded, then names like ""samplelib.so"" or ""samplelib.dylib"" or ""samplelib.dll"" might be tried also."
This means that an attempt is made to convert the value to an integer or floating point,null,This means that an attempt is made to convert the value to an integer or floating point.,"The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value.This means that an attempt is made to convert the value to an integer or floating point.If such a conversion is possible without loss of information (in other words, if the value is a string that looks like a number) then the conversion is performed.Otherwise no conversion occurs.The datatype after conversion be returned by sqlite3_value_numeric_type_APIName."
is undefined and may change from one release of SQLite to the next,null, is undefined and may change from one release of SQLite to the next .,"The sqlite3_value_type_APIName interface returns the datatype code for the initial datatype of the sqlite3_value object V. sqlite3_value_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.Other interfaces might change the datatype for an sqlite3_value object.For example, if the datatype is initially SQLITE_INTEGER_API_constant and sqlite3_value_text_APIName is called to extract a text value for that integer, then subsequent calls to sqlite3_value_type_APIName might return SQLITE_TEXT_API_constant.Whether or not a persistent internal datatype conversion occurs is undefined and may change from one release of SQLite to the next."
"If sqlite3_value_frombind_APIParam_1 comes from an SQL literal value, or a table column, and expression, sqlite3_value_frombind_APIName returns zero",null,"If sqlite3_value_frombind_APIParam_1 comes from an SQL literal value, or a table column, and expression, then sqlite3_value_frombind_APIName returns zero.","The sqlite3_value_frombind_APIName interface returns non-zero if the value sqlite3_value_frombind_APIParam_1 originated from one of the sqlite3_bind_APIName interfaces.If sqlite3_value_frombind_APIParam_1 comes from an SQL literal value, or a table column, and expression, then sqlite3_value_frombind_APIName returns zero."
"If sqlite3_value_nochange_APIName is invoked anywhere other than within an xUpdate method call for an UPDATE statement, the return value is arbitrary and meaningless",null,"If sqlite3_value_nochange_APIName is invoked anywhere other than within an xUpdate method call for an UPDATE statement, then the return value is arbitrary and meaningless.","Within the xUpdate method of a virtual table, the sqlite3_value_nochange_APIName interface returns true if and only if the column corresponding to sqlite3_value_nochange_APIParam_1 is unchanged by the UPDATE operation that the xUpdate method call was invoked to implement and if and the prior xColumn method call that was invoked to extracted the value for that column returned without setting a result (probably because it queried sqlite3_vtab_nochange_APIName and found that the column was unchanging).Within an xUpdate method, any value for which sqlite3_value_nochange_APIName is true will in all other respects appear to be a NULL value.If sqlite3_value_nochange_APIName is invoked anywhere other than within an xUpdate method call for an UPDATE statement, then the return value is arbitrary and meaningless."
Only the following subset of interfaces are subject to out-of-memory errors,null,Only the following subset of interfaces are subject to out-of-memory errors:,"As long as the input parameter is correct, these routines can only fail if an out-of-memory error occurs during a format conversion.Only the following subset of interfaces are subject to out-of-memory errors:"
"if the datatype is initially SQLITE_INTEGER_API_constant and sqlite3_value_text_APIName is called to extract a text value for that integer, subsequent calls to sqlite3_value_type_APIName might return SQLITE_TEXT_API_constant",null,"For example, if the datatype is initially SQLITE_INTEGER_API_constant and sqlite3_value_text_APIName is called to extract a text value for that integer, then subsequent calls to sqlite3_value_type_APIName might return SQLITE_TEXT_API_constant.","The sqlite3_value_type_APIName interface returns the datatype code for the initial datatype of the sqlite3_value object V. sqlite3_value_type_APIParam_0 is one of SQLITE_INTEGER_API_constant, SQLITE_FLOAT_API_constant, SQLITE_TEXT_API_constant, SQLITE_BLOB_API_constant, or SQLITE_NULL_API_constant.Other interfaces might change the datatype for an sqlite3_value object.For example, if the datatype is initially SQLITE_INTEGER_API_constant and sqlite3_value_text_APIName is called to extract a text value for that integer, then subsequent calls to sqlite3_value_type_APIName might return SQLITE_TEXT_API_constant.Whether or not a persistent internal datatype conversion occurs is undefined and may change from one release of SQLite to the next."
"Within an xUpdate method , any value appear to be a NULL value",null,"Within an xUpdate method , any value  appear to be a NULL value .","Within the xUpdate method of a virtual table, the sqlite3_value_nochange_APIName interface returns true if and only if the column corresponding to sqlite3_value_nochange_APIParam_1 is unchanged by the UPDATE operation that the xUpdate method call was invoked to implement and if and the prior xColumn method call that was invoked to extracted the value for that column returned without setting a result (probably because it queried sqlite3_vtab_nochange_APIName and found that the column was unchanging).Within an xUpdate method, any value for which sqlite3_value_nochange_APIName is true will in all other respects appear to be a NULL value.If sqlite3_value_nochange_APIName is invoked anywhere other than within an xUpdate method call for an UPDATE statement, then the return value is arbitrary and meaningless."
The SQLite core uses these routines for thread synchronization,null,The SQLite core uses these routines for thread synchronization.,"The SQLite core uses these routines for thread synchronization.Though they are intended for internal use by SQLite, code that links against SQLite is permitted to use any of these routines."
These routines must be called from the same thread as the SQL function that supplied the sqlite3_value * parameters,null,These routines must be called from the same thread as the SQL function that supplied the sqlite3_value* parameters.,These routines must be called from the same thread as the SQL function that supplied the sqlite3_value* parameters.
An appropriate implementation is selected automatically at compile-time,null,An appropriate implementation is selected automatically at compile-time.,The SQLite source code contains multiple implementations of these mutex routines.An appropriate implementation is selected automatically at compile-time.The following implementations are available in the SQLite core:
The sqlite3_str_finish_APIName interface may return a NULL pointer if any errors were encountered during construction of the string,null,The sqlite3_str_finish_APIName interface may return a NULL pointer if any errors were encountered during construction of the string.,The sqlite3_str_finish_APIName interface destroys the sqlite3_str object X and returns a pointer to a memory buffer obtained from sqlite3_malloc64_APIName that contains the constructed string.The calling application should pass sqlite3_str_finish_APIParam_0 value to sqlite3_free_APIName to avoid a memory leak.The sqlite3_str_finish_APIName interface may return a NULL pointer if any errors were encountered during construction of the string.The sqlite3_str_finish_APIName interface will also return a NULL pointer if the string in sqlite3_str object sqlite3_str_finish_APIParam_1 is zero bytes long.
"If an out-of-memory error occurs, the return value from these routines is the same as if the column had contained an SQL NULL value",null,"If an out-of-memory error occurs, then the return value from these routines is the same as if the column had contained an SQL NULL value.","If an out-of-memory error occurs, then the return value from these routines is the same as if the column had contained an SQL NULL value.Valid SQL NULL returns can be distinguished from out-of-memory errors by invoking the sqlite3_errcode_APIName immediately after the suspect return value is obtained and before any other SQLite interface is called on the same database connection."
The calling application should pass sqlite3_str_finish_APIParam_0 value to sqlite3_free_APIName to avoid a memory leak,null,The calling application should pass sqlite3_str_finish_APIParam_0 value to sqlite3_free_APIName to avoid a memory leak.,The sqlite3_str_finish_APIName interface destroys the sqlite3_str object X and returns a pointer to a memory buffer obtained from sqlite3_malloc64_APIName that contains the constructed string.The calling application should pass sqlite3_str_finish_APIParam_0 value to sqlite3_free_APIName to avoid a memory leak.The sqlite3_str_finish_APIName interface may return a NULL pointer if any errors were encountered during construction of the string.The sqlite3_str_finish_APIName interface will also return a NULL pointer if the string in sqlite3_str object sqlite3_str_finish_APIParam_1 is zero bytes long.
The sqlite3_str_finish_APIName interface destroys the sqlite3_str object X and returns a pointer to a memory buffer obtained from sqlite3_malloc64_APIName that contains the constructed string,null,The sqlite3_str_finish_APIName interface destroys the sqlite3_str object X and returns a pointer to a memory buffer obtained from sqlite3_malloc64_APIName that contains the constructed string.,The sqlite3_str_finish_APIName interface destroys the sqlite3_str object X and returns a pointer to a memory buffer obtained from sqlite3_malloc64_APIName that contains the constructed string.The calling application should pass sqlite3_str_finish_APIParam_0 value to sqlite3_free_APIName to avoid a memory leak.The sqlite3_str_finish_APIName interface may return a NULL pointer if any errors were encountered during construction of the string.The sqlite3_str_finish_APIName interface will also return a NULL pointer if the string in sqlite3_str object sqlite3_str_finish_APIParam_1 is zero bytes long.
The SQLite source code contains multiple implementations of these mutex routines,null,The SQLite source code contains multiple implementations of these mutex routines.,The SQLite source code contains multiple implementations of these mutex routines.An appropriate implementation is selected automatically at compile-time.The following implementations are available in the SQLite core:
The sqlite3_str_finish_APIName interface will also return a NULL pointer if the string in sqlite3_str object sqlite3_str_finish_APIParam_1 is zero bytes long,null,The sqlite3_str_finish_APIName interface will also return a NULL pointer if the string in sqlite3_str object sqlite3_str_finish_APIParam_1 is zero bytes long.,The sqlite3_str_finish_APIName interface destroys the sqlite3_str object X and returns a pointer to a memory buffer obtained from sqlite3_malloc64_APIName that contains the constructed string.The calling application should pass sqlite3_str_finish_APIParam_0 value to sqlite3_free_APIName to avoid a memory leak.The sqlite3_str_finish_APIName interface may return a NULL pointer if any errors were encountered during construction of the string.The sqlite3_str_finish_APIName interface will also return a NULL pointer if the string in sqlite3_str object sqlite3_str_finish_APIParam_1 is zero bytes long.
the conversion is performed,If such a conversion is possible without loss of information,"If such a conversion is possible without loss of information (in other words, if the value is a string that looks like a number) then the conversion is performed.","The sqlite3_value_numeric_type_APIName interface attempts to apply numeric affinity to the value.This means that an attempt is made to convert the value to an integer or floating point.If such a conversion is possible without loss of information (in other words, if the value is a string that looks like a number) then the conversion is performed.Otherwise no conversion occurs.The datatype after conversion be returned by sqlite3_value_numeric_type_APIName."
the sqlite3_load_extension_APIName interface shall attempt to fill * pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName,If an error occurs and sqlite3_load_extension_APIParam_4 is not 0,"If an error occurs and sqlite3_load_extension_APIParam_4 is not 0, then the sqlite3_load_extension_APIName interface shall attempt to fill *pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName.","The entry point is sqlite3_load_extension_APIParam_3.zProc may be 0, in which case SQLite will try to come up with an entry point name on its own.It first tries ""sqlite3_extension_init"".If that does not work, it constructs a name ""sqlite3_X_init"" where the X is consists of the lower-case equivalent of all ASCII alphabetic characters in the filename from the last ""/"" to the first following "".""and omitting any initial ""lib"".The sqlite3_load_extension_APIName interface returns SQLITE_OK_API_constant on success and SQLITE_ERROR_API_constant if something goes wrong.If an error occurs and sqlite3_load_extension_APIParam_4 is not 0, then the sqlite3_load_extension_APIName interface shall attempt to fill *pzErrMsg with error message text stored in memory obtained from sqlite3_malloc_APIName.The calling function should free this memory by calling sqlite3_free_APIName."
